keys,fr,es,pt_BR,it
ADULT_CHECK_PROMPT,"Veuillez confirmer que vous êtes un adulte !
Appuyez sur les touches {1}, {2} et {3}","Confirme que es un adulto! Seleccione {1}, {2} y {3}","Por favor, confirme que você é um adulto! Pressione as teclas {1}, {2} e {3}","Conferma di essere un adulto!
Premi i tasti {1}, {2} e {3}"
ADULT_BOSS_BLOCK_PROMPT,"Un adulte doit intervenir. Refaites le boss avec l'étudiant et demandez-lui de prononcer les mots à voix haute pour vérifier qu'il sait bien lire. Si l'étudiant échoue à lire correctement les mots, il est recommandé de revenir en arrière dans les niveaux pour reprendre les bases. Pour débloquer l'application, appuyez sur les touches {1}, {2} et {3}","Se necesita la intervención de un adulto. Rehaga el jefe con el estudiante y pídale que pronuncie las palabras en voz alta para comprobar que sabe leer. Si el estudiante no logra leer correctamente las palabras, se recomienda volver atrás en los niveles para repasar las bases. Para desbloquear la aplicación, presione las teclas {1}, {2} y {3}","É necessária a intervenção de um adulto. Refaça o chefe com o estudante e peça que ele pronuncie as palavras em voz alta para verificar se sabe ler. Se o estudante não conseguir ler corretamente as palavras, recomenda-se voltar nos níveis para reforçar as bases. Para desbloquear o aplicativo, pressione as teclas {1}, {2} e {3}","È necessario l'intervento di un adulto. Ripeti il livello boss con lo studente e chiedigli di pronunciare le parole ad alta voce per verificare che sappia leggere correttamente. Se lo studente non riesce a leggere bene le parole, si consiglia di tornare ai livelli precedenti per ripassare le basi. Per sbloccare l'app, premi i tasti {1}, {2} e {3}"
STAR,Étoile,Estrella,Estrela,Stella
BAR,Barre,Barra,Barra,Barra
CIRCLE,Cercle,Círculo,Círculo,Cerchio
PLUS,Plus,Más,Mais,Più
SQUARE,Carré,Cuadrado,Quadrado,Quadrato
TRIANGLE,Triangle,Triángulo,Triângulo,Triangolo
DOWNLOADING_DATA,Téléchargement des données...,Descargando los datos...,Download de dados...,Download dei dati...
BACK,Précédent,Atrás,Anterior,Indietro
NEXT,Suivant,Siguiente,Próximo,Avanti
CANCEL,Annuler,Cancelar,Cancelar,Annulla
AUDIO_SETTINGS,Réglages audio,Ajustes de audio,Configurações de áudio,Impostazioni audio
VOLUME_MASTER,Général,General,Geral,Generale
VOLUME_MUSIC,Musique,Música,Música,Musica
VOLUME_VOICE,Voix,Voz,Voz,Voce
VOLUME_EFFECTS,Effets,Efectos,Efeitos,Effetti
SAVE,Enregistrer,Guardar,Salvar,Salva
ACCOUNT_TYPE_PROMPT,Veuillez sélectionner le type de compte que vous souhaitez créer,Seleccionar el tipo de cuenta que desea crear,Selecione o tipo de conta que deseja criar,Seleziona il tipo di account che desideri creare
ACCOUNT_TYPE,Type de compte,Tipo de cuenta,Tipo de conta,Tipo di account
TEACHER,Enseignant,Soy docente,Professor,Insegnante
PARENT,Parent,Soy progenitor,Pais,Genitore
EDUCATION_METHOD_PROMPT,Veuillez sélectionner la méthode d'éducation utilisée,Seleccionar el método de enseñanza utilizado,Selecione o método educacional utilizado,Seleziona il metodo educativo utilizzato
EDUCATION_METHOD_INFOS,"Choisissez ""Complète"" si vous utilisez également les livrets et les jeux en papier","Elegir ""Completo"" si utiliza igualmente los cuadernos y los juegos en papel",Escolha 'Completo' se você também usar os livretos e os jogos de papel,Scegli "Completo" se utilizzi anche i libretti e i giochi cartacei
EDUCATION_METHOD,Méthode,Método,Método,Metodo
METHOD_APP_ONLY,J’utilise uniquement l’application,Uso solo la aplicación,Uso apenas o aplicativo,Uso solo l’applicazione
METHOD_COMPLETE,J’utilise la méthode complète,Uso el método completo,Uso o método completo,Uso il metodo completo
DEVICE_COUNT_PROMPT,Veuillez sélectionner le nombre d'appareils,Seleccionar la cantidad de dispositivos,Selecione o número de dispositivos,Seleziona il numero di dispositivi
DEVICE_COUNT_INFOS,Vous pourrez modifier les appareils ultérieurement dans les paramètres,Puede cambiar los dispositivos más tarde en la configuración,Você pode alterar os dispositivos posteriormente nas configurações,Potrai modificare i dispositivi in seguito nelle impostazioni
DEVICES,Appareils,Dispositivos,Dispositivos,Dispositivi
TEACHER_STUDENT_COUNT_PROMPT,Veuillez sélectionner le nombre d'étudiants sur l'appareil {number},Seleccione la cantidad de estudiantes en el dispositivo {number},Selecione o número de estudantes no dispositivo {number},Seleziona il numero di studenti sul dispositivo {number}
TEACHER_STUDENT_COUNT_INFOS,Vous pourrez modifier les étudiants pour chaque appareil ultérieurement dans les paramètres,Puede cambiar los estudiantes en cada dispositivo más tarde en la configuración,Você pode alterar os estudantes de cada dispositivo em uma data posterior nas configurações,Potrai modificare gli studenti per ogni dispositivo in seguito nelle impostazioni
STUDENTS,étudiants,Estudiantes,Estudantes,Studenti
PARENT_STUDENT_COUNT_PROMPT,Veuillez sélectionner le nombre de joueurs,"Por favor, seleccione la cantidad de jugadores",Selecione o número de jogadores,Seleziona il numero di giocatori
PARENT_STUDENT_COUNT_INFOS,Vous pourrez modifier les joueurs ultérieurement dans les paramètres,Puede modificar los jugadores más tarde en la configuración.,Você pode alterar os jogadores posteriormente nas configurações,Potrai modificare i giocatori in seguito nelle impostazioni
PLAYERS,Joueurs,Jugadores,Jogadores,Giocatori
PLAYER_PROMPT,Veuillez saisir les informations du joueur {number},Ingrese la información del jugador {number},Digite os detalhes do jogador {number},Inserisci le informazioni del giocatore {number}
PLAYER_LEVEL,Niveau,Nivel,Nível,Livello
BEGINNER,Débutant,Principiante,Iniciante,Principiante
REVIEWER,Critique,Supervisor,Revisão,Revisore
ADULT,Adulte,Adulto,Adulto,Adulto
PLAYER_NAME,Prénom,Nombre,Primeiro nome,Nome
PLAYER_AGE,Age,Edad,Idade,Età
CREDENTIALS_PROMPT,Veuillez saisir vos identifiants de connexion,Ingrese los datos de inicio de sesión,Digite seus detalhes de login,Inserisci le tue credenziali di accesso
CONFIRM_PASSWORD,Confirmer le mot de passe,Confirmar la contraseña,Confirmar senha,Conferma password
